"","crn","stn","cast","mdate","press","theta","sigma","temp","csal","coxy","bsal","boxy","dic","ph","alk","phos","nit","sil","dop","don","doc","tdp","tdn","pc","pn","pp","lln","llp","atp","n2o","psi","p15n","no2"
"75",43,2,7,-9,250,16.7602,25.428,16.8012,34.8143,-9,34.8604,197.6,2043.6,7.954,2302,0.34,3.68,3.7,0.16,5.18,-9,0.49,8.85,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"76",44,2,3,12093,898.2,4.269,27.286,4.3385,34.4065,27.4,34.4065,-9,2337.6,7.353,2349,3.06,42.09,103.22,0.02,2.39,-9,3.09,44.49,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"77",44,2,4,12093,160.5,20.979,24.627,21.0098,35.1677,195.2,35.1661,193.6,2025.7,8.019,2317,0.17,1.21,1.47,0.23,4.97,-9,0.4,6.18,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"78",44,2,4,12093,209.9,17.5328,25.32,17.5682,34.9133,196.3,-9,197.5,2040.8,7.96,2294,0.29,3.42,3.97,0.13,3.95,-9,0.42,7.36,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"79",44,2,4,12093,1028.8,3.9095,27.386,3.9875,34.4853,40.3,34.4877,41.1,2345.5,7.381,2360,2.99,41.29,109.49,0.02,2.76,-9,3.01,44.05,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"80",44,2,5,12093,130.4,22.6826,24.123,22.709,35.1289,212.9,35.13,209.2,1978.8,8.089,2306,0.04,0.04,1.21,0.21,5.8,74.8,0.25,5.84,-9,-9,-9,42.3,43.9,-9,-9,-9,-9,-9
"81",45,2,1,21693,4437.6,1.1135,27.788,1.4807,34.6898,-9,-9,151.3,2326.3,7.579,2423,2.51,35.72,150.89,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"82",45,2,5,21793,527.3,6.7852,26.712,6.8344,34.0651,106.3,34.0652,105.5,2218.1,7.509,2280,2.24,30.55,52.11,0.06,2.77,43.88,2.3,33.32,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"83",45,2,5,21793,801.3,4.4885,27.207,4.5511,34.3372,30.2,34.3348,30.3,2329.3,7.352,2337,3.03,41.19,99.78,0.02,1.85,42.31,3.06,43.04,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"84",45,2,5,21793,1022.5,3.8037,27.384,3.8802,34.469,41.9,34.4701,43.2,2342.1,7.388,2367,-9,-9,113.86,0.02,1.81,41.43,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
